country,zone,state,division,district,tehsil,pincode,village
India,West,Maharashtra,Konkan,Mumbai Suburban,Kurla,400024,Kurla East
India,West,Maharashtra,Konkan,Mumbai Suburban,Vikhroli,400079,Vikhroli West
India,West,Maharashtra,Konkan,Mumbai Suburban,Vikhroli,400083,Vikhroli East
India,West,Maharashtra,Konkan,Mumbai Suburban,Bhandup,400078,Bhandup West
India,West,Maharashtra,Konkan,Mumbai Suburban,Bhandup,400042,Bhandup East
India,West,Maharashtra,Konkan,Mumbai City,Colaba,400001,Colaba
India,West,Maharashtra,Konkan,Mumbai City,Fort,400001,Fort
India,West,Maharashtra,Konkan,Mumbai City,Churchgate,400020,Churchgate
India,West,Maharashtra,Konkan,Mumbai City,Marine Lines,400002,Marine Lines
India,West,Maharashtra,Konkan,Mumbai City,Charni Road,400002,Charni Road
India,West,Maharashtra,Konkan,Mumbai City,Grant Road,400007,Grant Road
India,West,Maharashtra,Konkan,Mumbai City,Mumbai Central,400008,Mumbai Central
India,West,Maharashtra,Konkan,Mumbai City,Mahalaxmi,400011,Mahalaxmi
India,West,Maharashtra,Konkan,Mumbai City,Lower Parel,400013,Lower Parel
India,West,Maharashtra,Konkan,Mumbai City,Prabhadevi,400025,Prabhadevi
India,West,Maharashtra,Konkan,Mumbai City,Dadar,400014,Dadar West
India,West,Maharashtra,Konkan,Mumbai City,Dadar,400028,Dadar East
India,West,Maharashtra,Konkan,Mumbai City,Mahim,400016,Mahim
India,West,Maharashtra,Konkan,Mumbai City,Matunga,400019,Matunga
India,West,Maharashtra,Konkan,Mumbai City,Wadala,400031,Wadala
India,West,Maharashtra,Konkan,Mumbai City,Sewri,400015,Sewri
India,West,Maharashtra,Konkan,Mumbai City,Cotton Green,400033,Cotton Green
India,West,Maharashtra,Konkan,Mumbai City,Reay Road,400033,Reay Road
India,West,Maharashtra,Konkan,Mumbai City,Dockyard Road,400010,Dockyard Road
India,West,Maharashtra,Konkan,Mumbai City,Mazgaon,400010,Mazgaon
India,West,Maharashtra,Konkan,Mumbai City,Byculla,400027,Byculla
India,West,Maharashtra,Konkan,Thane,Thane,400601,Thane West
India,West,Maharashtra,Konkan,Thane,Thane,400602,Thane East
India,West,Maharashtra,Konkan,Thane,Kalyan,421301,Kalyan West
India,West,Maharashtra,Konkan,Thane,Kalyan,421306,Kalyan East
India,West,Maharashtra,Konkan,Thane,Dombivli,421201,Dombivli West
India,West,Maharashtra,Konkan,Thane,Dombivli,421202,Dombivli East
India,West,Maharashtra,Konkan,Thane,Bhiwandi,421302,Bhiwandi
India,West,Maharashtra,Konkan,Thane,Ulhasnagar,421003,Ulhasnagar
India,West,Maharashtra,Konkan,Thane,Ambarnath,421501,Ambarnath
India,West,Maharashtra,Konkan,Thane,Badlapur,421503,Badlapur
India,West,Maharashtra,Konkan,Thane,Mira Road,401107,Mira Road
India,West,Maharashtra,Konkan,Thane,Navi Mumbai,400614,Vashi
India,West,Maharashtra,Konkan,Thane,Navi Mumbai,400705,Nerul
India,West,Maharashtra,Konkan,Thane,Navi Mumbai,400703,Belapur
India,West,Maharashtra,Konkan,Thane,Navi Mumbai,400701,Airoli
India,West,Maharashtra,Konkan,Thane,Navi Mumbai,400706,Kharghar
India,West,Maharashtra,Konkan,Thane,Navi Mumbai,410206,Panvel
India,West,Maharashtra,Konkan,Palghar,Palghar,401404,Palghar
India,West,Maharashtra,Konkan,Palghar,Vasai,401202,Vasai West
India,West,Maharashtra,Konkan,Palghar,Vasai,401208,Vasai East
India,West,Maharashtra,Konkan,Palghar,Virar,401303,Virar West
India,West,Maharashtra,Konkan,Palghar,Virar,401305,Virar East
India,West,Maharashtra,Konkan,Palghar,Nalasopara,401209,Nalasopara West
India,West,Maharashtra,Konkan,Palghar,Nalasopara,401203,Nalasopara East
India,West,Maharashtra,Konkan,Palghar,Dahanu,401601,Dahanu
India,West,Maharashtra,Konkan,Raigad,Alibag,402201,Alibag
India,West,Maharashtra,Konkan,Raigad,Pen,402107,Pen
India,West,Maharashtra,Konkan,Raigad,Uran,400702,Uran
India,West,Maharashtra,Konkan,Raigad,Karjat,410201,Karjat
India,West,Maharashtra,Konkan,Raigad,Khopoli,410203,Khopoli
India,West,Maharashtra,Konkan,Raigad,Matheran,410102,Matheran
India,West,Maharashtra,Konkan,Raigad,Murud,402401,Murud
India,West,Maharashtra,Konkan,Ratnagiri,Ratnagiri,415612,Ratnagiri City
India,West,Maharashtra,Konkan,Ratnagiri,Chiplun,415605,Chiplun
India,West,Maharashtra,Konkan,Ratnagiri,Dapoli,415712,Dapoli
India,West,Maharashtra,Konkan,Ratnagiri,Guhagar,415703,Guhagar
India,West,Maharashtra,Konkan,Ratnagiri,Sangameshwar,415611,Sangameshwar
India,West,Maharashtra,Konkan,Ratnagiri,Lanja,416701,Lanja
India,West,Maharashtra,Konkan,Ratnagiri,Rajapur,416702,Rajapur
India,West,Maharashtra,Konkan,Ratnagiri,Khed,415709,Khed
India,West,Maharashtra,Konkan,Sindhudurg,Kudal,416520,Kudal
India,West,Maharashtra,Konkan,Sindhudurg,Malvan,416606,Malvan
India,West,Maharashtra,Konkan,Sindhudurg,Vengurla,416516,Vengurla
India,West,Maharashtra,Konkan,Sindhudurg,Sawantwadi,416510,Sawantwadi
India,West,Maharashtra,Konkan,Sindhudurg,Kankavli,416602,Kankavli
India,West,Maharashtra,Konkan,Sindhudurg,Devgad,416613,Devgad
India,West,Maharashtra,Konkan,Sindhudurg,Oras,416522,Oras
